Column1,Column2
4.867762632,3.847786655
-0.903057558,4.026599467
2.405340806,1.503517412
2.007619039,3.564013206
0.795970393,2.774932652
7.481496719,5.399698596
7.554908141,4.190431657
4.88547444,1.470995884
9.671490279,8.016418158
1.88758172,-1.048392456
3.232484946,7.697234067
-3.22416327,7.677700393
10.23225549,9.238357887
-0.753119901,3.041014509
1.986411807,8.838679734
4.428686542,-0.721292595
5.014635346,2.442632726
-0.361611633,-0.462603253
-0.263728739,0.459767738
1.749918402,4.297176587
1.70091631,3.587552816
10.74672987,4.905597941
1.351759414,6.31588409
5.20073176,5.781150997
8.877817968,7.074327252
-1.618255318,4.574328498
4.901656955,9.91171378
9.708489402,4.308433719
10.05936008,0.481065567
7.998117494,1.039534662
3.774700824,6.235947502
7.333749239,-1.053590917
2.124156828,7.92775625
9.445121671,-1.577727833
4.589390917,0.223634376
6.212269743,5.437844846
8.431442263,6.220910639
2.051353612,0.38598404
3.111669339,3.645380394
4.329842617,-0.513985697
4.131082445,5.945696976
-2.231865807,0.958939064
3.444246286,-0.42418385
3.42165221,5.887089427
11.2615368,7.70890128
1.331358606,2.221163359
4.688302889,3.258554602
0.444476497,4.683218345
3.780799725,2.882053314
6.195514485,7.11623667
4.45304916,7.005811043
8.877370191,2.759029007
-1.541884618,4.810609641
4.227595931,1.6540664
9.440614094,5.744774846
-2.792923703,5.54406989
7.459429013,7.213721451
3.91208309,4.758281707
5.850473053,0.45387713
3.013719504,3.458020614
2.877540057,11.40833334
6.548146858,2.51915283
4.244201377,5.218226558
3.7729985,5.381932458
1.095724333,1.30364154
8.049268217,3.974705274
5.950135577,5.37901758
7.355173571,5.052383097
5.148956993,7.645956169
8.878670037,5.415149003
5.595802339,-2.291844198
7.035704057,3.702057232
5.587679237,2.166878458
-1.930248445,8.452281581
4.586257706,5.340137294
5.158913808,2.279052318
1.703464861,2.417262948
8.125033214,6.405235024
7.01553118,0.557452077
7.914673843,3.430022628
7.263140725,3.4224454
5.219647988,3.780494097
3.621033935,6.200022943
4.983744193,3.327726356
0.688014946,2.675896129
4.561610976,-0.061458912
6.09362055,4.269252293
7.495979202,0.738945261
1.981175158,8.842994353
4.927139747,6.888878665
2.340662519,6.124211581
6.000047927,5.780678545
3.514811883,2.845768568
4.705770451,5.446565619
5.41047419,3.687528783
4.954220594,4.394432993
3.461935938,3.95480618
-1.900169315,5.002011912
6.237956659,2.257201356
3.763281818,6.762143716
1.326239351,3.006549503
6.458695486,5.617430547
6.305674044,5.690146984
3.939605974,2.307515064
3.068588935,6.406706884
8.526991252,2.106406821
-0.540035401,5.078723135
4.437291749,-2.956317449
7.986709263,6.66287818
3.517636424,1.838760112
1.326448626,3.091976848
6.271891514,12.75737584
4.45715736,1.841385957
3.807418473,0.942638143
0.408408661,5.455126225
-2.376295501,2.576600628
3.428650702,4.034561084
2.430712038,4.064768079
3.84377158,2.741570961
5.672996953,7.773459244
6.866503568,0.830202277
5.604629562,2.439776138
1.404422571,2.773117025
3.565776556,0.691936023
4.798180465,6.75304827
3.262334275,0.565900984
6.854172389,0.714765904
2.599285436,3.012524661
8.888290615,-0.307596516
-0.293143036,-1.299357121
4.011321562,1.60637956
3.972329317,8.698358848
3.760614828,7.975066979
6.284045347,1.594248877
3.600898026,1.777373656
6.938278924,6.239746389
1.973411024,4.971097252
-3.123718189,3.834777712
4.367820609,9.074907686
6.398391686,5.995344675
-3.391993851,-0.376986155
2.438373455,7.513317551
8.91606797,1.773451587
5.561640814,0.790296977
0.855881562,6.361335161
-2.232829571,7.637912215
6.938331689,-3.836436914
2.724338475,2.01167571
3.722253799,2.350763357
5.386862484,1.528012564
